Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body
2010,1001,ADM Agri-Industries,ADM Windsor,Windsor,311224,69652,0,29,395,0,0,0,,70077,70077,,
2010,1002,Air Products Canada Ltd,Corunna Hydrogen Facility,Corunna,325120,389933,0,0,0,0,0,0,,389933,389933,,
2010,1003,Algonquin Power Energy From Waste Inc.,Algonquin Power  Energy from Waste Inc.,Brampton,562210,40378,44865,555,1113,0,0,0,,86911,42046,,
2010,1005,ArcelorMittal Dofasco Inc.,Dofasco Hamilton,Hamilton,331110,4923106,0,24680,8518,0,0,0,,4956304,4956304,,
2010,1006,Atlantic Packaging Products Ltd.,111 Progress,Scarborough,322130,42456,15218,18,231,0,0,0,,57923,42705,,
2010,1007,Capital Power Income L.P.,Kapuskasing Power Plant,Kapuskasing,221112,136570,0,748,1104,0,0,0,,138423,138423,,
2010,1008,Capital Power Income L.P.,Nipigon Power Plant,Nipigon,221112,105451,0,578,853,0,0,0,,106882,106882,,
2010,1009,Capital Power Income L.P.,North Bay Power Plant,North Bay,221112,133453,0,731,1079,0,0,0,,135264,135264,,
2010,1010,Capital Power Income L.P.,Tunis Power Plant,Tunis,221112,109200,0,598,883,0,0,0,,110682,110682,,
2010,1011,Brampton Brick,Brampton Brick,Brampton,327120,33703,0,0,0,0,0,0,,33703,33703,,
2010,1012,Brighton Beach Power L.P.,Brighton Beach Power,Windsor,221112,233290,0,382,1968,0,0,0,,235640,235640,,
2010,1014,Lake Superior Operations,Lake Superior Operations,Sault Ste. Marie,221112,212273,0,1163,1716,0,0,0,,215153,215153,,
2010,1015,Bruce Power Inc,Bruce Power Inc,Tiverton,221113,67661,0,57,746,0,0,0,,68464,68464,,
2010,1016,Bunge Canada,Bunge Canada - Hamilton Plant,Hamilton,311224,56151,0,0,0,0,0,0,,56151,56151,,
2010,1017,Cabot Canada Limited,Cabot Canada Limited,Sarnia,325189,213654,0,5,59,0,0,0,,213719,213719,,
2010,1018,Canadian Gypsum Canada INC.,Hagersvile Plant (066),Hagersville,327420,51259,0,21,279,0,0,0,,51560,51560,,
2010,1019,"Cardinal Power of Canada, L.P.",Cardinal Power,Cardinal,221112,562025,0,3011,4445,0,0,0,,569481,569481,,
2010,1020,Carmeuse Lime (Canada) Limited,Beachville Operation,Ingersoll,327410,469891,0,285,419,0,0,0,,470596,470596,,
2010,1021,Carmeuse Lime (Canada) Limited,Dundas Facility,Dundas,327410,405609,0,77,762,0,0,0,,406449,406449,,
2010,1022,Carmeuse Lime (Canada) Limited,Northern,Blind River,327410,90743,0,63,703,0,0,0,,91510,91510,,
2010,1023,Cascades Canada Inc.,Norampac Trenton a Division of Cascades Canada Inc.,Trenton,322121,55354,12486,37,383,0,0,0,,68260,55774,,
2010,1024,Certainteed Gypsum Canada,Mississauga Wallboard Plant,Mississauga,327420,25028,0,10,136,0,0,0,,25175,25175,,
2010,1025,Chrysler Canada,Brampton Assembly Plant,Brampton,336110,71177,0,29,388,0,0,0,,71594,71594,,
2010,1026,Chrysler Canada Inc.,Windsor Assembly Plant,Windsor,336110,37256,0,15,203,0,0,0,,37475,37475,,
2010,1027,City of Ottawa,Trail Road Waste Facility,Ottawa,562210,0,45396,191,282,0,0,0,,45871,475,,
2010,1028,City of Sault Ste. Marie,East Wastewater Treatment Plant,Sault Ste. Marie,221320,878,0,0,1050,0,0,0,,1928,1928,,
2010,1029,"Clean Harbors Canada, Inc.","Clean Harbors Canada, Inc",Corunna,562210,55524,0,1306,2571,0,0,0,,59402,59402,,
2010,1030,Columbian Chemicals Canada LLC,Hamilton,Hamilton,325189,198280,0,0,0,0,0,0,,198280,198280,,
2010,1032,Domtar Inc.,Dryden Operations,Dryden,322112,47985,798638,600,6299,0,342,0,,853865,55227,,
2010,1033,Domtar Inc.,Espanola Mill,Espanola,322121,85007,1118721,1748,15080,0,17396,0,,1237952,119231,,
2010,1034,Dyno Nobel Nitrogen Inc.,Maitland,Maitland,325313,12080,0,2854,4819,0,0,0,,19752,19752,,
2010,1035,East Windsor Cogeneration LP,East Windsor Cogeneration Centre,Windsor,221112,124285,0,681,1005,0,0,0,,125971,125971,,
2010,1036,Eastern Power Ltd.,Brock West Landfill Gas Power Plant,Pickering,221119,13413,7714,107,171,0,0,0,,21405,13691,,
2010,1037,Eastern Power Ltd.,Keele Valley Landfill Gas Power Plant,Vaughan,221119,7361,144128,647,961,0,0,0,,153097,8969,,
2010,1038,Enbridge Gas Distribution Inc.,Enbridge Gas Distribution Inc.,North York,221210,19413,0,413,161,0,0,0,,19988,19988,,
2010,1039,Enwave District Energy,Pearl Street Steam Plant,Toronto,221330,46827,0,256,378,0,0,0,,47463,47463,,
2010,1040,Enwave District Energy,Walton Street Steam Plant,Toronto,221330,138680,0,759,1123,0,0,0,,140562,140562,,
2010,1041,Essar Power Canada Ltd,Essar Power Canada Ltd,Sault Ste. Marie,221119,1505330,0,12684,4030,0,0,0,,1522044,1522044,,
2010,1042,Essar Steel Algoma Inc,Essar Steel Algoma Inc,Sault Ste. Marie,331110,2651023,0,3235,1883,0,0,0,,2656141,2656141,,
2010,1043,Essroc Canada Inc,Picton Plant,Picton,327310,603273,0,0,0,0,0,0,,603273,603273,,
2010,1044,Fanshawe College of Applied Arts and Technology,Fanshawe College of Applied Arts and Technology,London,611210,3123,0,1,19,0,0,0,,3143,3143,,
2010,1045,Federal White Cement Ltd.,Federal White Plant,Woodstock,327310,314616,0,3,36,0,0,0,,314655,314655,,
2010,1047,Ford Motor of Canada,Oakville Assembly Plant,Oakville,336110,75837,0,32,424,0,0,0,,76294,76294,,
2010,1048,Ford Motor of Canada,St. Thomas Assembly Plant,ST. Thomas,336110,48429,0,20,264,0,0,0,,48713,48713,,
2010,1049,Fort Chicago District Energy Ltd.,London District Energy,London,221330,39310,0,215,318,0,0,0,,39844,39844,,
2010,1050,Galvcast Manufacturing Inc.,Galvcast Plants,Acton,332810,0,0,0,0,0,0,0,,0,0,,
2010,1051,Tractebel Canada Inc.,West Windsor Power,Windsor,221112,368214,0,2017,2978,0,0,0,,373210,373210,,
2010,1052,General Motors of Canada Limited,CAMI AUTOMOTIVE INC,Ingersoll,336110,37114,0,15,202,0,0,0,,37332,37332,,
2010,1053,General Motors of Canada Limited,Oshawa Car Assembly Plant,Oshawa,336110,130016,0,385,522,0,0,0,,130924,130924,,
2010,1054,Gerdau Ameristeel,"Gerdau Ameristeel Corporation, Cambridge Mill",Cambridge,331110,31623,5212,31,128,0,0,0,,36996,31784,,
2010,1055,Gerdau AmeriSteel Whitby,Gerdau AmeriSteel Whitby,Whitby,331110,83331,0,4,693,0,0,0,,84028,84028,,
2010,1056,Goldcorp Canada Ltd.,Musselwhite Mine,Thunder Bay,212220,16892,0,0,0,0,0,0,,16892,16892,,
2010,1057,Goreway Station Partnership,Goreway Power Station,Brampton,221112,1209758,0,6625,9781,0,0,0,,1226165,1226165,,
2010,1059,"Greenfield Energy Centre, LP",Greenfield Energy Centre,Courtright,221112,980547,0,5370,7927,0,0,0,,993844,993844,,
2010,1060,Greenfield Ethanol Inc.,Chatham Facility,Chatham,325190,143647,0,176,601,0,0,0,,144424,144424,,
2010,1061,Greenfield Ethanol Inc.,Greenfield Johnstown Limited Partnership,Prescott,325190,88144,0,35,146,0,0,0,,88326,88326,,
2010,1062,H. J. Heinz of Canada,Heinz Leamington Facility,Leamington,311420,63329,0,26,344,0,0,0,,63699,63699,,
2010,1063,Hamilton Health Sciences Corporation,McMaster University Medical Centre Co-generation Plant,Hamilton,622112,35611,0,15,205,0,0,0,,35831,35831,,
2010,1064,Hamilton Specialty Bar (2007) Inc.,Hamilton Specialty Bar,Hamilton,331110,9468,0,0,0,0,0,0,,9468,9468,,
2010,1066,Hanson Brick,Hanson Brick - Burlington,Burlington,327990,44731,0,13,166,0,0,0,,44910,44910,,
2010,1067,Hiram Walker & Sons,Pike Creek,Maidstone Township,493190,0,0,0,0,0,0,0,,0,0,,
2010,1068,Hiram Walker & Sons,Walkerville,Windsor,312140,53853,0,22,295,0,0,0,,54170,54170,,
2010,1069,Holcim (Canada) inc.,Mississauga Plant,Mississauga,327310,1084571,0,0,0,0,0,0,,1084571,1084571,,
2010,1070,Honda of Canada,Alliston Plant 1,Alliston,336110,43879,0,18,239,0,0,0,,44137,44137,,
