"PNuid_NLidu","Name_en","Nom_fr","Province","Latitude","Longitude"
1,"Halifax","Halifax","NS",44.648757,-63.601876
2,"Dartmouth","Dartmouth","NS",44.672142,-63.562168
3,"Charlottetown","Charlottetown","PE",46.242961,-63.126519
4,"Sydney","Sydney","NS",46.126469,-60.176689
5,"Glace Bay","Glace Bay","NS",46.192901,-59.962389
6,"Bedford","Bedford","NS",44.733924,-63.653377
7,"Summerside","Summerside","PE",46.393458,-63.789341
8,"Amherst","Amherst","NS",45.830781,-64.209807
9,"New Glasgow","New Glasgow","NS",45.587794,-62.642169
10,"Eastern Passage","Eastern Passage","NS",44.615441,-63.480148
11,"Bridgewater","Bridgewater","NS",44.375475,-64.522476
12,"Yarmouth","Yarmouth","NS",43.83567,-66.120048
14,"New Waterford","New Waterford","NS",46.247297,-60.08167
15,"North Sydney","North Sydney","NS",46.204423,-60.260953
16,"Bible Hill","Bible Hill","NS",45.377819,-63.251466
17,"Kentville","Kentville","NS",45.086887,-64.489193
18,"Lower Sackville","Lower Sackville","NS",44.76279,-63.667137
19,"Fall River","Fall River","NS",44.821059,-63.611263
20,"Stellarton","Stellarton","NS",45.556695,-62.663698
21,"Antigonish","Antigonish","NS",45.623888,-61.994489
22,"Greenwood","Greenwood","NS",44.968348,-64.932953
23,"New Minas","New Minas","NS",45.067351,-64.457023
24,"Springhill","Springhill","NS",45.651053,-64.056599
25,"Westville","Westville","NS",45.55761,-62.711478
26,"Pictou","Pictou","NS",45.680317,-62.705484
27,"Windsor","Windsor","NS",44.989112,-64.137718
28,"Port Hawkesbury","Port Hawkesbury","NS",45.618477,-61.360132
29,"Wolfville","Wolfville","NS",45.087032,-64.355902
31,"Liverpool","Liverpool","NS",44.036255,-64.718972
32,"Sydney River","Sydney River","NS",46.097443,-60.226466
33,"Kingston","Kingston","NS",44.98767,-64.952343
34,"Trenton","Trenton","NS",45.61673,-62.632673
35,"Shubenacadie","Shubenacadie","NS",45.087367,-63.406758
36,"Enfield","Enfield","NS",44.951539,-63.532686
37,"Elmsdale","Elmsdale","NS",44.967014,-63.504486
38,"Dominion","Dominion","NS",46.211922,-60.023562
39,"Westmount","Westmount","NS",46.137947,-60.218552
40,"Berwick","Berwick","NS",45.045524,-64.734149
41,"Digby","Digby","NS",44.619461,-65.764455
42,"Shelburne","Shelburne","NS",43.762137,-65.316761
43,"Bras d'Or","Bras d'Or","NS",46.247916,-60.293895
44,"Reserve Mines","Reserve Mines","NS",46.183228,-60.012083
45,"Montague","Montague","PE",46.166741,-62.650928
46,"Prospect","Prospect","NS",44.4703,-63.7882
47,"Middleton","Middleton","NS",44.943143,-65.067497
48,"Inverness","Inverness","NS",46.229332,-61.304065
49,"Mount Uniacke","Mount Uniacke","NS",44.887299,-63.823514
50,"Lantz","Lantz","NS",44.988791,-63.480257
51,"Chester","Chester","NS",44.544706,-64.24043
52,"Parrsboro","Parrsboro","NS",45.403413,-64.325671
53,"Hilden","Hilden","NS",45.308172,-63.29061
54,"Stewiacke","Stewiacke","NS",45.137957,-63.348574
55,"Kensington","Kensington","PE",46.43509,-63.636769
56,"Oxford","Oxford","NS",45.734804,-63.867064
57,"Souris","Souris","PE",46.354618,-62.248536
58,"Hantsport","Hantsport","NS",45.067624,-64.179662
59,"Alberton","Alberton","PE",46.811267,-64.063926
60,"Brooklyn","Brooklyn","NS",44.055204,-64.693051
61,"Bridgetown","Bridgetown","NS",44.840736,-65.286153
62,"Milton","Milton","NS",44.062363,-64.750025
63,"Chéticamp","Chéticamp","NS",46.636,-61.008
64,"Three Mile Plains","Three Mile Plains","NS",44.964269,-64.096958
65,"Herring Cove","Herring Cove","NS",44.56701,-63.560943
66,"Falmouth","Falmouth","NS",44.995753,-64.163034
67,"Waverley","Waverley","NS",44.783842,-63.601193
68,"Louisbourg","Louisbourg","NS",45.920011,-59.974802
69,"O'Leary","O'Leary","PE",46.707616,-64.223198
70,"Tignish","Tignish","PE",46.950001,-64.033333
71,"Sheet Harbour","Sheet Harbour","NS",44.921013,-62.533466
72,"Canning","Canning","NS",45.158692,-64.429297
73,"Miscouche","Miscouche","PE",46.430963,-63.859378
74,"Georgetown","Georgetown","PE",46.184812,-62.534031
75,"Lockeport","Lockeport","NS",43.694826,-65.111716
76,"St. Peter's","St. Peter's","NS",45.657752,-60.875715
77,"River Hebert","River Hebert","NS",45.692315,-64.379065
78,"Lawrencetown","Lawrencetown","NS",44.884645,-65.162078
79,"North Rustico","North Rustico","PE",46.45925,-63.309202
80,"Annapolis Royal","Annapolis Royal","NS",44.744892,-65.51122
81,"Arichat","Arichat","NS",45.510972,-61.018048
82,"Mulgrave","Mulgrave","NS",45.612105,-61.39358
83,"Baddeck","Baddeck","NS",46.101371,-60.75365
84,"Wood Islands","Wood Islands","PE",45.965852,-62.75645
85,"Clark's Harbour","Clark's Harbour","NS",43.446273,-65.635724
86,"Musquodoboit Harbour","Musquodoboit Harbour","NS",44.787813,-63.146767
87,"South Harbour","South Harbour","NS",46.869108,-60.463842
88,"Meteghan","Meteghan","NS",44.185635,-66.161248
89,"Mahone Bay","Mahone Bay","NS",44.448587,-64.380442
90,"Canso","Canso","NS",45.33562,-60.995228
91,"Murray Harbour","Murray Harbour","PE",46.003505,-62.521319
92,"Morell","Morell","PE",46.414862,-62.704972
93,"Mount Stewart","Mount Stewart","PE",46.369157,-62.868262
94,"Red Bay","Red Bay","NL",51.74463,-56.426012
95,"Miminegash","Miminegash","PE",46.880718,-64.22564
96,"Gaspereaux","Gaspereaux","PE",46.105535,-62.476079
97,"St-Raphaël","St-Raphaël","PE",46.425262,-64.017046
98,"Louisdale","Louisdale","NS",45.606494,-61.063595
99,"Havre Boucher","Havre Boucher","NS",45.68452,-61.534711
100,"Clyde River","Clyde River","NS",43.630886,-65.477321
101,"Walton","Walton","NS",45.229556,-64.001939
102,"Merigomish","Merigomish","NS",45.63271,-62.433109
103,"Capstick","Capstick","NS",47.003161,-60.515017
104,"Ingonish Centre","Ingonish Centre","NS",46.680493,-60.408404
105,"Port Morien","Port Morien","NS",46.133524,-59.873956
106,"L'Ardoise","L'Ardoise","NS",45.614505,-60.766787
107,"Margaree Forks","Margaree Forks","NS",46.331078,-61.090195
108,"Elmira","Elmira","PE",46.441238,-62.064408
109,"Grande Anse","Grande Anse","NS",45.626055,-61.069144
110,"Whycocomagh","Whycocomagh","NS",45.974325,-61.12718
112,"Mabou","Mabou","NS",46.072911,-61.392098
113,"Advocate Harbour","Advocate Harbour","NS",45.336814,-64.783246
114,"Sandy Point","Sandy Point","NS",43.710782,-65.319271
115,"Port Hood","Port Hood","NS",46.017664,-61.529844
116,"Askilton","Askilton","NS",45.69046,-61.312246
117,"Judique","Judique","NS",45.876011,-61.490657
118,"Tangier","Tangier","NS",44.801573,-62.698985
119,"Mushaboom","Mushaboom","NS",44.850738,-62.533687
120,"Moser River","Moser River","NS",44.974953,-62.254173
121,"Londonderry","Londonderry","NS",45.474488,-63.602802
122,"Hopewell","Hopewell","NS",45.482811,-62.699494
123,"New Germany","New Germany","NS",44.538594,-64.711955
124,"Jordan Falls","Jordan Falls","NS",43.815532,-65.233595
125,"Ingonish","Ingonish","NS",46.692015,-60.373185
126,"Shag Harbour","Shag Harbour","NS",43.498533,-65.702969
127,"Lower Woods Harbour","Lower Woods Harbour","NS",43.51616,-65.73474
128,"West Wentworth","West Wentworth","NS",45.685893,-63.603188
129,"Upper Musquodoboit","Upper Musquodoboit","NS",45.134083,-62.946919
130,"Brighton","Brighton","NS",44.553008,-65.853955
131,"Guysborough","Guysborough","NS",45.391732,-61.503125
132,"West Chezzetcook","West Chezzetcook","NS",44.716185,-63.266519
133,"Middle Musquodoboit","Middle Musquodoboit","NS",45.043763,-63.149622
134,"Wedgeport","Wedgeport","NS",43.739225,-65.979654
135,"Brooklyn","Brooklyn","NS",45.006962,-64.013123
136,"Deep Brook","Deep Brook","NS",44.636614,-65.654258
137,"Plymouth","Plymouth","NS",43.801067,-66.015188
138,"Martins River","Martins River","NS",44.486178,-64.335413
139,"Saulnierville","Saulnierville","NS",44.264199,-66.129985
140,"East Kemptville","East Kemptville","NS",44.087032,-65.769705
141,"Economy","Economy","NS",45.384636,-63.916967
142,"Great Village","Great Village","NS",45.411669,-63.596237
143,"Noel","Noel","NS",45.295738,-63.747985
144,"Middlewood","Middlewood","NS",44.229763,-64.573857
145,"Debert","Debert","NS",45.437936,-63.459815
146,"Pleasant Bay","Pleasant Bay","NS",46.827546,-60.801122
147,"Northport","Northport","NS",45.932583,-63.867604
148,"Tatamagouche","Tatamagouche","NS",45.709407,-63.294496
149,"Pugwash","Pugwash","NS",45.850485,-63.662234
150,"Kennetcook","Kennetcook","NS",45.176299,-63.721843
151,"Wallace","Wallace","NS",45.812571,-63.472779
152,"Hacketts Cove","Hacketts Cove","NS",44.567392,-63.923574
153,"Sambro","Sambro","NS",44.474754,-63.603401
154,"Margaretsville","Margaretsville","NS",45.047082,-65.063417
155,"Greenfield","Greenfield","NS",44.272901,-64.841565
156,"River John","River John","NS",45.752335,-63.069545
